creationdate:LONG|:START_ID(Person)|:END_ID(Tag)
1262531431499|14|139
1262531431499|14|290
1262531431499|14|584
1262531431499|14|779
1262531431499|14|781
1262531431499|14|782
1262531431499|14|783
1262531431499|14|804
1262531431499|14|1031
1262531431499|14|1621
1262531431499|14|1760
1262531431499|14|1763
1262531431499|14|1997
1262531431499|14|2001
1262531431499|14|2008
1262531431499|14|2031
1262531431499|14|2038
1262531431499|14|2045
1262531431499|14|2067
1262531431499|14|2074
1262531431499|14|2794
1262531431499|14|2797
1262531431499|14|2824
1262531431499|14|2825
1262531431499|14|2826
1262531431499|14|2865
1262531431499|14|2870
1262531431499|14|2908
1262531431499|14|2938
1262531431499|14|2942
1262531431499|14|2999
1262531431499|14|3020
1262531431499|14|3035
1262531431499|14|3041
1262531431499|14|3043
1262531431499|14|3044
1262531431499|14|5063
1262531431499|14|5156
1262531431499|14|5163
1262531431499|14|6763
1262531431499|14|6887
1262531431499|14|6991
1262531431499|14|7148
1262531431499|14|7507
1262531431499|14|7517
1262531431499|14|8225
1262531431499|14|8372
1262531431499|14|10712
1262531431499|14|10925
1262531431499|14|11515
1262531431499|14|11582
1264943583929|16|4843
1263909070863|27|291
1263909070863|27|470
1263909070863|27|973
1263909070863|27|974
1263909070863|27|1023
1263909070863|27|1175
1263909070863|27|1398
1263909070863|27|1532
1263909070863|27|1749
1263909070863|27|1763
1263909070863|27|1985
1263909070863|27|1986
1263909070863|27|1992
1263909070863|27|2114
1263909070863|27|2777
1263909070863|27|2785
1263909070863|27|2789
1263909070863|27|2791
1263909070863|27|2793
1263909070863|27|2864
1263909070863|27|2895
1263909070863|27|2942
1263909070863|27|2959
1263909070863|27|2979
1263909070863|27|2984
1263909070863|27|2991
1263909070863|27|2998
1263909070863|27|3005
1263909070863|27|3013
1263909070863|27|3025
1263909070863|27|3027
1263909070863|27|3046
1263909070863|27|5114
1263909070863|27|5192
1263909070863|27|6340
1263909070863|27|6383
1263909070863|27|6740
1263909070863|27|6980
1263909070863|27|6987
1263909070863|27|7522
1263909070863|27|9638
1263909070863|27|10449
1263909070863|27|10513
1263909070863|27|11824
1263942187674|33|282
1263942187674|33|458
1263942187674|33|775
1263942187674|33|778
1263942187674|33|779
1263942187674|33|781
1263942187674|33|796
1263942187674|33|1164
1263942187674|33|1446
1263942187674|33|1506
1263942187674|33|1984
1263942187674|33|1988
1263942187674|33|2004
1263942187674|33|2007
1263942187674|33|2011
1263942187674|33|2017
1263942187674|33|2044
1263942187674|33|2051
1263942187674|33|2056
1263942187674|33|2058
1263942187674|33|2065
1263942187674|33|2100
1263942187674|33|2119
1263942187674|33|2778
1263942187674|33|2804
1263942187674|33|2806
1263942187674|33|2819
1263942187674|33|2832
1263942187674|33|2833
1263942187674|33|2846
1263942187674|33|2852
1263942187674|33|2916
1263942187674|33|2945
1263942187674|33|2961
1263942187674|33|2979
1263942187674|33|2990
1263942187674|33|3044
1263942187674|33|3056
1263942187674|33|3059
1263942187674|33|3077
1263942187674|33|3089
1263942187674|33|4955
1263942187674|33|5067
1263942187674|33|5182
1263942187674|33|5196
1263942187674|33|6004
1263942187674|33|6383
1263942187674|33|6413
1263942187674|33|6740
1263942187674|33|6981
1263942187674|33|6985
1263942187674|33|7032
1263942187674|33|7089
1263942187674|33|7218
1263942187674|33|7516
1263942187674|33|7523
1263942187674|33|9063
1263942187674|33|9317
1263942187674|33|10037
1263942187674|33|14791
1263972727566|42|458
1263972727566|42|806
1263972727566|42|1668
1263972727566|42|1670
1263972727566|42|1985
1263972727566|42|1993
1263972727566|42|2011
1263972727566|42|2066
1263972727566|42|2785
1263972727566|42|2788
1263972727566|42|2794
1263972727566|42|2898
1263972727566|42|2929
1263972727566|42|2953
1263972727566|42|2968
1263972727566|42|2969
1263972727566|42|3073
1263972727566|42|5115
1263972727566|42|5170
1263972727566|42|5183
1263972727566|42|6976
1263972727566|42|8882
1263972727566|42|10289
1266659387443|46|1200
1266659387443|46|1506
1266659387443|46|1532
1266659387443|46|1533
1266659387443|46|1992
1266659387443|46|1993
1266659387443|46|2105
1266659387443|46|2795
1266659387443|46|6433
1262693557385|66|2
1262693557385|66|2057
1265754541024|71|1936
1265754541024|71|2909
1263780113909|100|193
1263780113909|100|801
1263780113909|100|1410
1263780113909|100|1680
